value,identifier_type_id,main_identifier,identifiable_type,identifiable_id
035585011561,2,true,Product,1
035585013206,2,true,Product,2
035585031170,2,true,Product,3
035585032085,2,true,Product,4
035585032085az,3,true,Offer,1
035585032085ro,3,true,Offer,2
035585032085ve,3,true,Offer,3
035585032085vi,3,true,Offer,4
035585032092,2,true,Product,5
035585032092az,3,true,Offer,5
035585032092ro,3,true,Offer,6
035585032092ve,3,true,Offer,7
035585032092vi,3,true,Offer,8
035585032108,2,true,Product,6
035585032108az,3,true,Offer,9
035585032108ro,3,true,Offer,10
035585032108ve,3,true,Offer,11
035585032108vi,3,true,Offer,12
035585034003,2,true,Product,7
035585034010,2,true,Product,8
035585034034,2,true,Product,9
035585034041,2,true,Product,10
035585034089,2,true,Product,11
035585034089ce,3,true,Offer,13
035585034089na,3,true,Offer,14
035585034089ro,3,true,Offer,15
035585034089vi,3,true,Offer,16
035585034096,2,true,Product,12
035585034096ce,3,true,Offer,17
035585034096na,3,true,Offer,18
035585034096ro,3,true,Offer,19
035585034096vi,3,true,Offer,20
035585034171,2,true,Product,13
035585034188,2,true,Product,14
035585111018,2,true,Product,15
035585111025,2,true,Product,16
035585111117,2,true,Product,17
035585111124,2,true,Product,18
035585111148,2,true,Product,19
035585111216,2,true,Product,20
035585111315,2,true,Product,21
035585111414,2,true,Product,22
035585111421,2,true,Product,23
035585111438,2,true,Product,24
035585111490,2,true,Product,25
035585111551,2,true,Product,26
035585111605,2,true,Product,27
035585117003,2,true,Product,28
035585125008,2,true,Product,29
035585129082,2,true,Product,30
035585129150,2,true,Product,31
035585129174,2,true,Product,32
035585131115,2,true,Product,33
035585131115ce,3,true,Offer,21
035585131115pi,3,true,Offer,22
035585131191,2,true,Product,34
035585131191ce,3,true,Offer,23
035585131191pi,3,true,Offer,24
035585131207,2,true,Product,35
035585131207ce,3,true,Offer,25
035585131207pi,3,true,Offer,26
035585131214,2,true,Product,36
035585131214ce,3,true,Offer,27
035585131214pi,3,true,Offer,28
035585131283,2,true,Product,37
035585131283ce,3,true,Offer,29
035585131283pi,3,true,Offer,30
035585131313,2,true,Product,38
035585131313ce,3,true,Offer,31
035585131313pi,3,true,Offer,32
035585141114,2,true,Product,39
035585141213,2,true,Product,40
035585141312,2,true,Product,41
035585159003,2,true,Product,42
035585159010,2,true,Product,43
035585159041,2,true,Product,44
035585159058,2,true,Product,45
035585159096,2,true,Product,46
035585172071,2,true,Product,47
035585172118,2,true,Product,48
035585181127,2,true,Product,49
035585181134,2,true,Product,50
035585181141,2,true,Product,51
035585181226,2,true,Product,52
035585250007,2,true,Product,53
035585250014,2,true,Product,54
035585356006,2,true,Product,55
035585363066,2,true,Product,56
035585363165,2,true,Product,57
035585363172,2,true,Product,58
035585402000,2,true,Product,59
035585402017,2,true,Product,60
035585402024,2,true,Product,61
035585402031,2,true,Product,62
035585402048,2,true,Product,63
035585402055,2,true,Product,64
035585402062,2,true,Product,65
035585402079,2,true,Product,66
035585404028,2,true,Product,67
035585416007,2,true,Product,68
035585447001,2,true,Product,69
035585447018,2,true,Product,70
035585447049,2,true,Product,71
035585454252,2,true,Product,72
035585454252be,3,true,Offer,33
035585454252gr,3,true,Offer,34
035585454252ma,3,true,Offer,35
035585454269,2,true,Product,73
035585454269be,3,true,Offer,36
035585454269gr,3,true,Offer,37
035585454269ma,3,true,Offer,38
035585459486,2,true,Product,74
035585476155,2,true,Product,75
035585485324,2,true,Product,76
035585485331,2,true,Product,77
035585485348,2,true,Product,78
035585504063,2,true,Product,79
035585504063ro,3,true,Offer,39
035585504063ve,3,true,Offer,40
035585504070,2,true,Product,80
035585504070ro,3,true,Offer,41
035585504070ve,3,true,Offer,42
035585509365,2,true,Product,81
035585509372,2,true,Product,82
035585509396,2,true,Product,83
035585509402,2,true,Product,84
035585523088,2,true,Product,85
035585523095,2,true,Product,86
035585774978,2,true,Product,87
035585775159,2,true,Product,88
035585775173,2,true,Product,89
035585775180,2,true,Product,90
035585775197,2,true,Product,91
035585775203,2,true,Product,92
035585775210,2,true,Product,93
035585775227,2,true,Product,94
035585775234,2,true,Product,95
035585775241,2,true,Product,96
035585775258,2,true,Product,97
035585775265,2,true,Product,98
035585775272,2,true,Product,99
035585775555,2,true,Product,100
035585775579,2,true,Product,101
035585780108,2,true,Product,102
035585780702,2,true,Product,103
035585800028,2,true,Product,104
035585800028az,3,true,Offer,43
035585800028ro,3,true,Offer,44
035585800028vi,3,true,Offer,45
035585800868,2,true,Product,105
035585800868aa,3,true,Offer,46
035585800868bb,3,true,Offer,47
035585800868cc,3,true,Offer,48
035585800868dd,3,true,Offer,49
077234540008,2,true,Product,106
077234540015,2,true,Product,107
077234540022,2,true,Product,108
077234540039,2,true,Product,109
077234540046,2,true,Product,110
077234540053,2,true,Product,111
077234540060,2,true,Product,112
077234540077,2,true,Product,113
077234540992,2,true,Product,114
077234541012,2,true,Product,115
077234541029,2,true,Product,116
077234541043,2,true,Product,117
077234541050,2,true,Product,118
077234541067,2,true,Product,119
1538037663909,1,true,Product,120
2893700013023,1,true,Product,121
2893700013023AA,3,true,Offer,50
2893700013023BB,3,true,Offer,51
2893700016611,1,true,Product,122
2893700018967,1,true,Product,123
2893700018967bl,3,true,Offer,52
2893700018967ce,3,true,Offer,53
2893700018967pi,3,true,Offer,54
2893700039030,1,true,Product,124
2893700045796,1,true,Product,125
2893700045796ce,3,true,Offer,55
2893700045796gr,3,true,Offer,56
2893700045796pi,3,true,Offer,57
2893700049817,1,true,Product,126
4000498002551,1,true,Product,127
4000498013205,1,true,Product,128
4000498013229,1,true,Product,129
4000498013236,1,true,Product,130
4000498014202,1,true,Product,131
4000498014219,1,true,Product,132
4000498014226,1,true,Product,133
4000498015520,1,true,Product,134
4000498021705,1,true,Product,135
4000498021712,1,true,Product,136
4000498022405,1,true,Product,137
4000498022412,1,true,Product,138
4000498022429,1,true,Product,139
4000498022436,1,true,Product,140
4000498022504,1,true,Product,141
4000498022511,1,true,Product,142
4000498022528,1,true,Product,143
